conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",label
9.94,0.05,-1.68,-1.43,8.25,-1.38,False
2.62,1.59,0.0,0.0,2.62,1.59,False
5.26,-4.24,0.41,2.71,5.66,-1.54,False
4.3,4.75,0.0,0.0,4.3,4.75,False
5.44,-4.02,0.26,2.73,5.69,-1.3,False
6.4,-2.22,-4.46,2.71,1.94,0.49,False
-1.48,3.92,0.0,0.0,-1.48,3.92,False
3.99,1.11,-1.56,-0.58,2.44,0.52,False
7.49,-3.41,-3.02,-0.44,4.46,-3.81,False
0.95,4.95,-0.03,-0.34,0.93,4.6,False
1.86,-0.22,-1.72,2.32,0.14,2.1,False
2.42,4.14,0.15,-0.04,2.56,4.09,False
6.39,-2.28,-4.41,2.82,1.98,0.53,False
2.46,1.35,0.13,-2.44,2.6,-1.08,False
13.71,3.72,-2.22,-1.36,11.49,2.36,False
8.89,1.7,-1.49,-2.24,7.4,-0.51,False
4.36,7.07,-0.26,-3.29,4.13,3.78,False
12.89,1.09,-1.51,-2.15,11.38,-1.03,False
3.02,0.8,-0.31,-0.64,2.71,0.19,False
7.59,-2.23,-5.84,2.56,1.75,0.32,False
3.87,-8.71,-2.08,-0.52,1.78,-9.25,False
0.0,0.0,-0.07,-4.15,-0.07,-4.15,False
0.85,4.84,-0.14,-0.5,0.72,4.34,False
0.68,0.7,-0.62,-2.85,0.07,-2.15,False
7.6,-2.16,-5.97,2.45,1.64,0.29,False
5.66,3.71,0.0,0.0,5.66,3.71,False
1.96,0.86,0.0,0.0,1.96,0.86,False
5.42,-3.98,0.15,2.72,5.56,-1.27,False
0.53,2.46,-0.21,-0.15,0.32,2.31,False
3.33,-0.69,0.56,-0.31,3.89,-0.98,False
3.08,0.84,0.55,-1.63,3.64,-0.75,False
5.69,-3.26,-4.24,2.94,1.44,-0.33,False
5.47,-3.93,0.26,2.73,5.72,-1.21,False
4.07,-4.9,-1.03,2.58,3.04,-2.33,False
1.96,4.59,-0.03,0.22,1.93,4.82,False
1.9,4.59,0.01,0.18,1.91,4.78,False
-0.06,4.9,0.18,0.51,0.11,5.41,False
-0.06,4.9,0.19,0.51,0.13,5.4,False
1.52,3.62,0.0,0.0,1.52,3.62,False
8.82,5.51,-0.91,-2.09,7.91,3.42,False
10.41,-1.23,-2.1,-2.0,8.3,-3.21,False
-0.02,0.28,1.07,-3.18,1.05,-2.9,False
6.76,0.96,-0.72,-0.63,6.02,0.38,False
8.6,1.79,-1.07,-0.55,7.52,1.27,False
5.26,3.74,0.0,0.0,5.26,3.74,False
10.53,-0.9,-1.91,-0.12,8.63,-1.0,False
10.52,-1.31,-2.17,-2.01,8.34,-3.3,False
9.1,2.49,-1.43,-1.27,7.67,1.22,False
5.17,6.77,-0.58,-3.41,4.61,3.36,False
10.84,-1.13,-2.04,-0.1,8.8,-1.21,False
4.97,0.19,-2.39,-0.24,2.58,-0.06,False
0.21,2.5,-0.08,-0.16,0.13,2.33,False
-3.1,4.77,0.0,0.0,-3.1,4.77,False
9.76,6.54,-1.31,-3.27,8.46,3.26,False
2.18,-2.23,-2.18,2.23,0.0,0.0,False
5.37,-3.83,-1.9,2.25,3.47,-1.58,False
3.97,-1.14,-0.21,-0.33,3.77,-1.45,False
1.77,0.8,2.08,-1.52,3.86,-0.67,False
10.44,-0.9,-1.87,-0.12,8.57,-1.0,False
5.94,0.83,0.0,0.0,5.94,0.83,False
6.0,-0.64,-0.93,2.58,5.06,1.93,False
1.97,4.59,-0.05,0.24,1.92,4.83,False
-1.48,3.92,0.0,0.0,-1.48,3.92,False
9.6,6.26,-1.07,-3.18,8.54,3.08,False
1.25,4.7,0.13,0.01,1.38,4.71,False
5.68,3.1,0.0,0.0,5.68,3.1,False
10.41,-1.23,-2.1,-2.0,8.3,-3.21,False
1.79,2.11,0.0,0.0,1.79,2.11,False
7.68,5.92,-0.71,-2.13,6.98,3.79,False
2.46,0.53,0.22,-0.61,2.69,-0.05,False
7.6,-2.16,-5.97,2.45,1.64,0.29,False
4.06,0.18,-0.24,-1.58,3.83,-1.4,False
12.02,5.8,-2.88,-3.7,9.16,2.06,False
7.07,3.62,-2.0,-2.62,5.08,0.99,False
3.25,-1.02,0.0,0.0,3.25,-1.02,False
8.2,-4.27,-1.65,-0.08,6.55,-4.36,False
0.95,4.95,-0.03,-0.34,0.93,4.6,False
-3.12,4.75,0.0,0.0,-3.12,4.75,False
-3.12,4.75,0.0,0.0,-3.12,4.75,False
5.86,4.71,-0.23,-3.5,5.65,1.21,False
1.25,4.7,0.1,0.17,1.35,4.87,False
7.3,2.32,-6.79,-1.29,0.51,1.03,False
-0.41,-1.22,-3.07,-0.09,-3.49,-1.31,False
3.36,0.91,-0.23,-1.83,3.14,-0.92,False
5.86,5.78,-0.73,-2.79,5.12,3.0,False
8.89,1.49,-0.14,-1.8,8.76,-0.33,False
1.15,4.7,0.51,0.41,1.66,5.11,False
9.79,1.86,-0.1,-1.83,9.69,0.01,False
7.92,-0.06,-7.05,0.87,0.87,0.81,False
-0.41,-1.22,0.92,0.27,0.51,-0.95,False
0.2,-0.72,-3.12,-3.24,-2.92,-3.96,False
2.56,3.35,-0.03,0.13,2.53,3.48,False
0.86,1.13,0.35,-2.95,1.22,-1.82,False
0.0,0.0,-3.17,-4.86,-3.17,-4.86,False
3.52,7.21,0.2,-2.87,3.72,4.34,False
1.19,4.7,0.12,0.15,1.3,4.86,False
2.13,0.66,-2.24,-2.84,-0.1,-2.18,False
5.63,3.09,0.0,0.0,5.63,3.09,False
3.62,3.52,0.0,0.0,3.62,3.52,False
3.69,3.51,0.0,0.0,3.69,3.51,False
3.4,-1.01,0.0,0.0,3.4,-1.01,False
1.34,0.9,0.0,0.0,1.34,0.9,False
0.65,1.08,1.78,-0.2,2.43,0.91,False
7.94,-4.43,-1.57,-0.06,6.37,-4.49,False
3.91,-0.34,-1.37,-0.77,2.54,-1.13,False
-7.77,10.17,9.4,-5.82,1.78,4.33,False
-1.09,0.73,0.0,0.0,-1.09,0.73,False
9.7,6.54,-1.31,-3.27,8.41,3.26,False
1.56,1.58,-1.73,-3.71,-0.15,-2.13,False
1.56,1.58,-1.73,-3.71,-0.15,-2.13,False
-1.38,-23.79,-1.93,3.37,-3.28,-20.38,False
3.45,-1.1,0.33,-0.29,3.78,-1.38,False
1.75,0.82,2.12,-1.46,3.88,-0.6,False
6.49,-3.87,-1.9,0.65,4.6,-3.2,False
6.41,4.63,-5.61,-3.02,0.81,1.61,False
6.69,0.37,-5.05,0.9,1.65,1.26,False
4.04,-0.42,-3.74,0.54,0.3,0.13,False
1.33,1.8,-0.37,-0.88,0.96,0.92,False
5.63,-6.43,-1.81,0.01,3.82,-6.41,False
5.1,3.13,-4.25,-1.75,0.84,1.39,False
1.19,2.28,-0.85,-1.36,0.34,0.92,False
1.84,0.93,0.3,-1.42,2.15,-0.49,False
2.29,-5.85,-0.07,2.73,2.21,-3.13,False
