trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.97,50.45,0,0,0,0,0.18,7.02,901,111,25.66,25.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.94,-35.65,0,0,0,0,0.18,303.46,901,823,4.69,11.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.93,-16.06,0,0,0,0,0.20,125.21,901,821,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.81,-35.50,0,0,0,0,0.18,303.39,901,823,4.88,11.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.81,-15.89,0,0,0,0,0.20,125.18,901,821,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,-15.73,0,0,0,0,0.20,125.15,901,821,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,50.43,0,0,0,0,0.18,7.24,901,111,25.48,25.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,-35.35,0,0,0,0,0.18,303.32,901,823,5.06,10.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-15.57,0,0,0,0,0.20,125.11,901,821,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-35.19,0,0,0,0,0.18,303.24,901,823,5.24,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.45,-15.40,0,0,0,0,0.20,125.08,901,821,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.44,-35.04,0,0,0,0,0.18,303.17,901,823,5.43,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.41,50.40,0,0,0,0,0.18,7.45,901,111,25.30,25.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.33,-15.24,0,0,0,0,0.20,125.05,901,821,1.90,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.32,-34.88,0,0,0,0,0.18,303.10,901,823,5.61,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.22,-15.08,0,0,0,0,0.20,125.02,901,821,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.20,-34.73,0,0,0,0,0.18,303.03,901,823,5.79,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
