trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.97,50.45,0,0,0,0,0.18,7.02,901,111,25.02,25.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.94,-35.65,0,0,0,0,0.18,303.46,901,823,9.13,11.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.93,-16.06,0,0,0,0,0.20,125.21,901,821,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.81,-35.50,0,0,0,0,0.18,303.39,901,823,9.31,11.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.81,-15.89,0,0,0,0,0.20,125.18,901,821,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,-15.73,0,0,0,0,0.20,125.15,901,821,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,50.43,0,0,0,0,0.18,7.24,901,111,24.84,24.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,-35.35,0,0,0,0,0.18,303.32,901,823,9.50,10.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-15.57,0,0,0,0,0.20,125.11,901,821,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-35.19,0,0,0,0,0.18,303.24,901,823,9.68,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.45,-15.40,0,0,0,0,0.20,125.08,901,821,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.44,-35.04,0,0,0,0,0.18,303.17,901,823,9.86,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.41,50.40,0,0,0,0,0.18,7.45,901,111,24.66,24.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.33,-15.24,0,0,0,0,0.20,125.05,901,821,1.90,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.32,-34.88,0,0,0,0,0.18,303.10,901,823,10.05,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.22,-15.08,0,0,0,0,0.20,125.02,901,821,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.20,-34.73,0,0,0,0,0.18,303.03,901,823,10.16,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.13,-34.56,0,0,0,0,0.19,275.49,901,823,9.97,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.13,50.38,0,0,0,0,0.18,7.67,901,111,24.48,24.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.11,-34.37,0,0,0,0,0.19,275.48,901,823,9.78,9.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.10,-14.91,0,0,0,0,0.20,124.99,901,821,2.29,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.08,-34.18,0,0,0,0,0.19,275.47,901,823,9.60,9.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.06,-34.00,0,0,0,0,0.19,275.45,901,823,9.41,9.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.04,-33.81,0,0,0,0,0.19,275.44,901,823,9.22,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.02,-33.62,0,0,0,0,0.19,275.43,901,823,9.03,9.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.98,-14.75,0,0,0,0,0.20,124.96,901,821,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.98,-33.44,0,0,0,0,0.18,285.69,901,823,8.85,8.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.92,-33.27,0,0,0,0,0.18,285.66,901,823,8.66,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.86,-33.09,0,0,0,0,0.18,285.63,901,823,8.48,8.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.86,-14.59,0,0,0,0,0.20,124.93,901,821,2.69,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.84,50.38,0,0,0,0,0.19,351.01,901,111,24.29,24.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.80,-32.92,0,0,0,0,0.18,285.60,901,823,8.30,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.75,-32.74,0,0,0,0,0.18,285.56,901,823,8.12,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.74,-14.42,0,0,0,0,0.20,124.90,901,821,2.89,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.69,-32.57,0,0,0,0,0.18,285.53,901,823,7.94,7.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.63,-32.39,0,0,0,0,0.18,285.50,901,823,7.76,7.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.63,-14.26,0,0,0,0,0.20,124.87,901,821,3.09,3.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.57,-32.22,0,0,0,0,0.18,285.47,901,823,7.58,7.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.54,50.41,0,0,0,0,0.19,351.24,901,111,24.10,24.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.52,-32.05,0,0,0,0,0.18,285.44,901,823,7.40,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.51,-14.09,0,0,0,0,0.20,124.84,901,821,3.29,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.46,-31.87,0,0,0,0,0.18,285.41,901,823,7.22,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.39,-13.93,0,0,0,0,0.20,124.81,901,821,3.49,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.39,-31.69,0,0,0,0,0.20,293.01,901,823,7.03,7.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.30,-31.51,0,0,0,0,0.20,292.97,901,823,6.83,6.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
