trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-168.13,55.02,0,0,0,0,0.19,351.67,1072,101,0.10,56.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.80,55.05,0,0,0,0,0.19,351.94,1072,101,0.29,56.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.47,55.08,0,0,0,0,0.19,352.21,1072,101,0.48,55.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.14,55.10,0,0,0,0,0.19,352.48,1072,101,0.67,55.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.81,55.13,0,0,0,0,0.19,352.76,1072,101,0.86,55.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.48,55.15,0,0,0,0,0.19,353.03,1072,101,1.05,55.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.14,55.17,0,0,0,0,0.19,353.30,1072,101,1.24,55.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-165.81,55.20,0,0,0,0,0.19,353.57,1072,101,1.43,54.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-165.48,55.22,0,0,0,0,0.19,353.85,1072,101,1.62,54.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-165.15,55.24,0,0,0,0,0.19,354.12,1072,101,1.82,54.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-164.81,55.26,0,0,0,0,0.19,354.40,1072,101,2.01,54.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-164.48,55.27,0,0,0,0,0.19,354.67,1072,101,2.20,54.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-164.14,55.29,0,0,0,0,0.19,354.94,1072,101,2.39,53.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-163.81,55.31,0,0,0,0,0.19,355.22,1072,101,2.58,53.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-163.49,55.34,0,0,0,0,0.18,344.02,1072,101,2.77,53.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-163.18,55.39,0,0,0,0,0.18,344.27,1072,101,2.95,53.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-162.86,55.44,0,0,0,0,0.18,344.53,1072,101,3.14,53.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
