trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.97,50.45,0,0,0,0,0.18,7.02,901,111,11.04,23.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.91,-36.94,0,0,0,0,0.19,298.45,901,806,5.00,14.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.80,-36.77,0,0,0,0,0.19,298.38,901,806,5.19,13.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,50.43,0,0,0,0,0.18,7.24,901,111,11.22,23.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.68,-36.60,0,0,0,0,0.19,298.32,901,806,5.39,13.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-36.43,0,0,0,0,0.19,298.25,901,806,5.58,13.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.46,-36.26,0,0,0,0,0.19,298.18,901,806,5.77,13.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.41,50.40,0,0,0,0,0.18,7.45,901,111,11.40,23.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.35,-36.09,0,0,0,0,0.19,298.12,901,806,5.96,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.23,-35.92,0,0,0,0,0.19,298.05,901,806,6.16,12.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.19,-14.92,0,0,0,0,0.18,167.84,901,821,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.13,50.38,0,0,0,0,0.18,7.67,901,111,11.58,23.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.12,-35.75,0,0,0,0,0.19,297.98,901,806,6.35,12.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
