trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
61.87,24.69,0,0,0,0,0.19,43.53,301,301,0.09,28.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.02,24.56,0,0,0,0,0.19,43.59,301,301,0.28,28.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.17,24.43,0,0,0,0,0.19,43.65,301,301,0.47,28.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.32,24.30,0,0,0,0,0.19,43.72,301,301,0.66,28.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.47,24.17,0,0,0,0,0.19,43.78,301,301,0.85,28.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.62,24.04,0,0,0,0,0.19,43.84,301,301,1.04,27.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.77,23.90,0,0,0,0,0.19,43.90,301,301,1.23,27.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62.92,23.77,0,0,0,0,0.19,43.96,301,301,1.42,27.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.07,23.64,0,0,0,0,0.19,44.02,301,301,1.61,27.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.22,23.51,0,0,0,0,0.19,44.08,301,301,1.80,27.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.37,23.38,0,0,0,0,0.19,44.14,301,301,1.99,27.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.51,23.24,0,0,0,0,0.19,44.20,301,301,2.18,26.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.66,23.11,0,0,0,0,0.19,44.26,301,301,2.37,26.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.81,22.99,0,0,0,0,0.19,39.55,301,301,2.56,26.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63.97,22.87,0,0,0,0,0.19,39.61,301,301,2.75,26.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.13,22.75,0,0,0,0,0.19,39.67,301,301,2.93,26.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.28,22.63,0,0,0,0,0.19,39.73,301,301,3.12,25.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.44,22.51,0,0,0,0,0.19,39.79,301,301,3.31,25.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.59,22.39,0,0,0,0,0.19,39.85,301,301,3.49,25.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.75,22.27,0,0,0,0,0.19,39.91,301,301,3.68,25.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64.90,22.15,0,0,0,0,0.19,39.96,301,301,3.87,25.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65.05,22.03,0,0,0,0,0.19,40.02,301,301,4.05,24.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65.21,21.91,0,0,0,0,0.19,40.08,301,301,4.24,24.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65.36,21.79,0,0,0,0,0.19,40.14,301,301,4.42,24.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65.52,21.67,0,0,0,0,0.19,40.19,301,301,4.61,24.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
