trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-84.31,23.59,0,0,0,0,0.19,163.03,101,2022,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-84.10,23.65,0,0,0,0,0.19,163.11,101,2022,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.90,23.70,0,0,0,0,0.19,163.20,101,2022,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.70,23.76,0,0,0,0,0.19,163.28,101,2022,0.68,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.64,11.21,0,0,0,0,0.19,53.81,902,2015,0.10,7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.53,11.06,0,0,0,0,0.19,53.83,902,2015,0.29,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.50,23.81,0,0,0,0,0.19,163.36,101,2022,0.87,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.41,10.90,0,0,0,0,0.19,53.85,902,2015,0.48,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.30,10.75,0,0,0,0,0.19,53.88,902,2015,0.67,6.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.29,23.87,0,0,0,0,0.19,163.44,101,2022,1.06,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.18,10.59,0,0,0,0,0.19,53.90,902,2015,0.86,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.09,23.92,0,0,0,0,0.19,163.52,101,2022,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-83.07,10.44,0,0,0,0,0.19,53.92,902,2015,1.06,6.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.95,10.28,0,0,0,0,0.19,53.94,902,2015,1.25,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.88,23.96,0,0,0,0,0.19,173.85,101,2022,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.84,10.13,0,0,0,0,0.19,53.96,902,2015,1.44,5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.72,9.97,0,0,0,0,0.19,53.98,902,2015,1.63,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.68,23.98,0,0,0,0,0.19,173.93,101,2022,1.64,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.61,9.82,0,0,0,0,0.19,54.00,902,2015,1.83,5.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.49,9.66,0,0,0,0,0.19,54.02,902,2015,2.02,5.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.47,24.00,0,0,0,0,0.19,174.02,101,2022,1.83,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.38,9.51,0,0,0,0,0.19,54.04,902,2015,2.21,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.26,9.35,0,0,0,0,0.19,54.06,902,2015,2.40,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.26,24.02,0,0,0,0,0.19,174.10,101,2022,2.03,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.15,9.20,0,0,0,0,0.19,54.08,902,2015,2.59,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.05,24.04,0,0,0,0,0.19,174.19,101,2022,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-82.03,9.05,0,0,0,0,0.19,46.32,902,2015,2.79,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.89,8.91,0,0,0,0,0.19,46.34,902,2015,2.98,4.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.84,24.06,0,0,0,0,0.19,174.27,101,2022,2.41,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.76,8.77,0,0,0,0,0.19,46.36,902,2015,3.17,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.63,24.08,0,0,0,0,0.19,174.36,101,2022,2.60,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.63,8.63,0,0,0,0,0.19,46.38,902,2015,3.36,3.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.49,8.50,0,0,0,0,0.19,46.40,902,2015,3.55,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.42,24.10,0,0,0,0,0.19,174.45,101,2022,2.79,2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.36,8.36,0,0,0,0,0.19,46.42,902,2015,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.23,8.22,0,0,0,0,0.19,46.44,902,2015,3.26,3.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.21,24.12,0,0,0,0,0.19,174.53,101,2022,2.98,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.09,8.08,0,0,0,0,0.19,46.46,902,2015,3.07,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-81.00,24.14,0,0,0,0,0.19,174.62,101,2022,3.18,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.96,7.94,0,0,0,0,0.19,46.48,902,2015,2.88,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.81,7.82,0,0,0,0,0.20,29.59,902,2015,2.68,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.80,24.15,0,0,0,0,0.19,174.70,101,2022,3.37,3.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.63,7.73,0,0,0,0,0.20,29.61,902,2015,2.49,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.59,24.17,0,0,0,0,0.19,174.79,101,2022,3.56,3.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.46,7.63,0,0,0,0,0.20,29.64,902,2015,2.29,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.38,24.19,0,0,0,0,0.19,174.87,101,2022,3.75,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.29,7.53,0,0,0,0,0.20,29.66,902,2015,2.09,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.17,24.21,0,0,0,0,0.19,174.96,101,2022,3.94,3.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-80.12,7.43,0,0,0,0,0.20,29.68,902,2015,1.89,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.96,24.22,0,0,0,0,0.19,175.04,101,2022,4.13,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.94,7.34,0,0,0,0,0.20,29.70,902,2015,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.77,7.24,0,0,0,0,0.20,29.73,902,2015,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.76,24.19,0,0,0,0,0.19,204.75,101,2022,4.32,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.60,7.14,0,0,0,0,0.20,29.75,902,2015,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.57,24.11,0,0,0,0,0.19,204.82,101,2022,4.51,4.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.43,7.04,0,0,0,0,0.20,29.77,902,2015,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-79.38,24.03,0,0,0,0,0.19,204.90,101,2022,4.70,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
