trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.99,71.02,0,0,0,0,0.20,73.53,18100,18107,1.89,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.96,75.45,0,0,0,0,0.19,202.82,18100,18107,8.81,8.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.82,70.82,0,0,0,0,0.20,73.69,18100,18107,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.65,70.63,0,0,0,0,0.20,73.85,18100,18107,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.64,61.64,0,0,0,0,0.19,1.70,101,182,3.20,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.49,70.44,0,0,0,0,0.20,74.00,18100,18107,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.33,70.25,0,0,0,0,0.20,74.16,18100,18107,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.26,75.38,0,0,0,0,0.19,203.50,18100,18107,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.23,61.64,0,0,0,0,0.19,2.06,101,182,3.39,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.17,70.06,0,0,0,0,0.20,74.31,18100,18107,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.01,69.87,0,0,0,0,0.20,74.45,18100,18107,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.86,69.67,0,0,0,0,0.20,74.60,18100,18107,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.82,61.63,0,0,0,0,0.19,2.42,101,182,3.59,8.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
