trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.97,50.45,0,0,0,0,0.18,7.02,901,111,11.04,23.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.91,-36.94,0,0,0,0,0.19,298.45,901,806,0.90,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.80,-36.77,0,0,0,0,0.19,298.38,901,806,1.09,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,50.43,0,0,0,0,0.18,7.24,901,111,11.22,23.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.68,-36.60,0,0,0,0,0.19,298.32,901,806,1.28,7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.57,-36.43,0,0,0,0,0.19,298.25,901,806,1.47,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.46,-36.26,0,0,0,0,0.19,298.18,901,806,1.67,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.41,50.40,0,0,0,0,0.18,7.45,901,111,11.40,23.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.35,-36.09,0,0,0,0,0.19,298.12,901,806,1.86,6.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.23,-35.92,0,0,0,0,0.19,298.05,901,806,2.05,6.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.19,-14.92,0,0,0,0,0.18,167.84,901,821,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.13,50.38,0,0,0,0,0.18,7.67,901,111,11.58,23.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.12,-35.75,0,0,0,0,0.19,297.98,901,806,2.24,6.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.01,-14.88,0,0,0,0,0.18,167.79,901,821,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.01,-35.58,0,0,0,0,0.19,297.92,901,806,2.44,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.90,-35.41,0,0,0,0,0.19,297.86,901,806,2.63,5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.84,50.38,0,0,0,0,0.19,351.01,901,111,11.77,23.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.83,-14.85,0,0,0,0,0.18,167.75,901,821,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
