trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral
-179.92,-39.52,0,0,0,0,0.19,173.15,919,879,4.12,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.69,58.80,0,0,0,0,0.20,2.21,53401,53401,20.35,20.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.67,-39.50,0,0,0,0,0.19,172.99,919,879,4.31,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.43,-39.47,0,0,0,0,0.19,172.84,919,879,4.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.31,58.79,0,0,0,0,0.20,2.53,53401,53401,20.16,20.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-179.19,-39.45,0,0,0,0,0.19,172.69,919,879,4.69,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.95,-39.43,0,0,0,0,0.19,172.53,919,879,4.87,4.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.93,58.78,0,0,0,0,0.20,2.86,53401,53401,19.96,19.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.71,-39.40,0,0,0,0,0.19,172.38,919,879,5.06,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.55,58.77,0,0,0,0,0.20,3.19,53401,53401,19.76,19.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.47,-39.38,0,0,0,0,0.19,172.23,919,879,5.25,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.23,-39.35,0,0,0,0,0.19,173.06,919,879,5.44,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-178.16,58.76,0,0,0,0,0.20,3.51,53401,53401,19.56,19.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.99,-39.33,0,0,0,0,0.19,172.91,919,879,5.62,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.78,58.75,0,0,0,0,0.20,3.84,53401,53401,19.36,19.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.75,-39.31,0,0,0,0,0.19,172.76,919,879,5.81,5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.51,-39.28,0,0,0,0,0.19,172.61,919,879,5.99,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.40,58.74,0,0,0,0,0.20,4.16,53401,53401,19.17,19.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.28,-39.26,0,0,0,0,0.19,172.46,919,879,6.18,6.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.04,-39.23,0,0,0,0,0.19,172.31,919,879,6.36,6.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-177.02,58.72,0,0,0,0,0.20,4.49,53401,53401,18.97,18.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.80,-39.21,0,0,0,0,0.19,172.16,919,879,6.55,6.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.64,58.71,0,0,0,0,0.20,4.81,53401,53401,18.77,18.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.56,-39.18,0,0,0,0,0.19,172.01,919,879,6.73,6.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.33,-39.16,0,0,0,0,0.19,171.86,919,879,6.92,6.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.26,58.69,0,0,0,0,0.20,5.13,53401,53401,18.57,18.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-176.09,-39.13,0,0,0,0,0.19,171.71,919,879,7.11,7.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.89,58.67,0,0,0,0,0.20,5.46,53401,53401,18.37,18.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.85,-39.10,0,0,0,0,0.19,171.56,919,879,7.29,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.62,-39.08,0,0,0,0,0.19,171.41,919,879,7.48,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.51,58.65,0,0,0,0,0.20,5.78,53401,53401,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.38,-39.05,0,0,0,0,0.19,171.26,919,879,7.66,7.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.15,-39.03,0,0,0,0,0.18,175.68,919,879,7.84,7.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-175.13,58.63,0,0,0,0,0.20,6.10,53401,53401,17.98,17.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.75,58.61,0,0,0,0,0.20,6.43,53401,53401,17.78,17.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.39,-75.19,0,0,0,0,0.19,287.30,919,802,15.88,15.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.37,58.59,0,0,0,0,0.20,6.75,53401,53401,17.58,17.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.17,-75.01,0,0,0,0,0.19,287.09,919,802,15.69,15.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.14,-75.30,0,0,0,0,0.18,192.00,919,802,16.06,16.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-174.00,58.56,0,0,0,0,0.20,7.07,53401,53401,17.39,17.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.96,-74.83,0,0,0,0,0.19,286.89,919,802,15.51,15.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.76,-74.66,0,0,0,0,0.19,286.69,919,802,15.32,15.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.62,58.54,0,0,0,0,0.20,7.39,53401,53401,17.19,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.56,-74.48,0,0,0,0,0.19,286.50,919,802,15.13,15.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.43,-75.33,0,0,0,0,0.18,191.31,919,802,16.25,16.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.36,-74.30,0,0,0,0,0.19,286.31,919,802,14.95,14.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.25,58.51,0,0,0,0,0.20,7.71,53401,53401,16.99,16.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-173.17,-74.12,0,0,0,0,0.19,286.13,919,802,14.76,14.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.99,-73.94,0,0,0,0,0.19,285.95,919,802,14.57,14.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.87,58.48,0,0,0,0,0.20,8.03,53401,53401,16.79,16.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.72,-75.37,0,0,0,0,0.18,190.62,919,802,16.43,16.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.72,-73.76,0,0,0,0,0.20,298.81,919,802,14.38,14.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.50,58.46,0,0,0,0,0.20,8.35,53401,53401,16.59,16.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.38,-73.59,0,0,0,0,0.20,298.49,919,802,14.18,14.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.12,58.43,0,0,0,0,0.20,8.67,53401,53401,16.40,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.05,-73.42,0,0,0,0,0.20,298.17,919,802,13.99,13.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-172.01,-75.40,0,0,0,0,0.18,189.93,919,802,16.61,16.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.75,58.40,0,0,0,0,0.20,8.99,53401,53401,16.20,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.73,-73.24,0,0,0,0,0.20,297.86,919,802,13.79,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.41,-73.06,0,0,0,0,0.20,297.55,919,802,13.59,13.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.38,58.36,0,0,0,0,0.20,9.30,53401,53401,16.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.29,-75.43,0,0,0,0,0.18,189.24,919,802,16.80,16.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.10,-72.89,0,0,0,0,0.20,297.26,919,802,13.39,13.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-171.00,58.33,0,0,0,0,0.20,9.62,53401,53401,15.80,15.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.79,-72.71,0,0,0,0,0.20,296.96,919,802,13.19,13.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.63,58.30,0,0,0,0,0.20,9.94,53401,53401,15.61,15.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.57,-75.46,0,0,0,0,0.18,188.54,919,802,16.98,16.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.49,-72.54,0,0,0,0,0.20,296.68,919,802,12.99,12.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.26,58.26,0,0,0,0,0.20,10.25,53401,53401,15.41,15.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-170.20,-72.36,0,0,0,0,0.20,296.40,919,802,12.80,12.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.91,-72.18,0,0,0,0,0.20,296.12,919,802,12.60,12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.89,58.23,0,0,0,0,0.20,10.57,53401,53401,15.21,15.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.85,-75.49,0,0,0,0,0.18,187.84,919,802,17.16,17.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.63,-72.00,0,0,0,0,0.20,295.85,919,802,12.40,12.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.52,58.19,0,0,0,0,0.20,10.88,53401,53401,15.01,15.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.35,-71.82,0,0,0,0,0.20,295.59,919,802,12.20,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.16,58.15,0,0,0,0,0.20,11.19,53401,53401,14.81,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.12,-75.51,0,0,0,0,0.18,187.14,919,802,17.35,17.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-169.08,-71.64,0,0,0,0,0.20,295.33,919,802,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.81,-71.46,0,0,0,0,0.20,295.08,919,802,11.80,11.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.79,58.11,0,0,0,0,0.20,11.50,53401,53401,14.62,14.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.55,-71.28,0,0,0,0,0.20,294.83,919,802,11.61,11.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.42,58.07,0,0,0,0,0.20,11.82,53401,53401,14.42,14.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.38,-75.56,0,0,0,0,0.20,199.54,919,802,17.54,17.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.29,-71.10,0,0,0,0,0.20,294.59,919,802,11.41,11.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.06,58.03,0,0,0,0,0.20,12.13,53401,53401,14.22,14.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-168.04,-70.92,0,0,0,0,0.20,294.35,919,802,11.21,11.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.79,-70.74,0,0,0,0,0.20,294.11,919,802,11.01,11.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.69,57.99,0,0,0,0,0.20,12.44,53401,53401,14.02,14.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.63,-75.62,0,0,0,0,0.20,198.81,919,802,17.74,17.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.55,-70.56,0,0,0,0,0.20,293.88,919,802,10.81,10.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.33,57.95,0,0,0,0,0.20,12.74,53401,53401,13.82,13.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.31,-70.38,0,0,0,0,0.20,293.66,919,802,10.61,10.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-167.07,-70.20,0,0,0,0,0.20,293.44,919,802,10.41,10.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.96,57.90,0,0,0,0,0.20,13.05,53401,53401,13.63,13.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.86,-75.68,0,0,0,0,0.20,198.06,919,802,17.94,17.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.84,-70.02,0,0,0,0,0.20,293.22,919,802,10.22,10.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.61,-69.83,0,0,0,0,0.20,293.01,919,802,10.02,10.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.60,57.86,0,0,0,0,0.20,13.36,53401,53401,13.43,13.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.39,-69.65,0,0,0,0,0.20,292.80,919,802,9.82,9.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-166.24,57.81,0,0,0,0,0.20,13.66,53401,53401,13.23,13.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
