dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
0.1,-13.08,13.9,1.94,False
1.18,-1.89,4.4,-0.45,False
1.29,-2.61,10.42,0.49,False
1.03,-5.06,6.32,1.04,False
1.29,-2.26,10.08,0.47,False
6.44,-1.83,3.96,-1.31,False
0.1,0.02,1.93,4.59,False
1.29,-2.29,8.83,-2.63,False
2.36,0.3,1.53,1.26,False
7.65,-0.47,5.13,-0.29,False
1.29,-2.27,10.28,0.56,False
0.07,-1.63,8.04,-4.48,False
4.78,-3.02,7.49,-3.41,False
0.1,0.25,2.13,2.77,False
1.29,-2.22,11.14,-1.74,False
6.45,-1.92,4.42,-0.38,False
0.27,-5.54,6.37,4.67,False
1.09,-2.29,8.86,-2.63,False
0.1,0.0,1.94,4.59,False
0.01,-0.45,1.07,3.21,False
0.27,-5.6,6.35,4.69,False
0.1,-1.65,8.17,-4.32,False
2.57,1.23,1.32,0.99,False
2.92,-0.16,0.48,2.48,False
0.47,-5.55,6.32,4.71,False
3.15,1.2,3.42,-0.74,False
2.46,-1.81,5.68,-6.38,False
3.06,-2.24,10.08,0.7,False
2.99,-2.33,3.65,-4.93,False
3.46,-2.91,10.05,0.38,False
2.52,-4.1,4.2,0.47,False
0.09,-4.21,5.02,3.26,False
1.64,-5.31,7.15,4.28,False
0.47,-3.72,12.67,5.28,False
1.36,-5.33,7.19,4.07,False
0.09,-5.66,6.45,4.59,False
0.09,-5.55,6.32,4.73,False
9.96,-0.44,5.25,-3.3,False
3.26,-2.91,10.25,0.41,False
3.06,-2.26,8.78,-2.47,False
2.66,-2.07,6.06,-6.32,False
2.78,0.93,1.72,0.96,False
3.09,-5.09,6.27,2.24,False
0.09,-5.61,6.36,4.69,False
3.26,-2.26,8.7,-2.48,False
3.26,-2.57,10.4,0.73,False
2.18,-5.08,6.26,2.16,False
1.01,-5.06,6.24,2.39,False
2.99,-2.33,3.65,-4.93,False
8.18,-3.59,11.22,-4.04,False
0.09,-4.21,5.02,3.26,False
3.0,2.32,1.58,0.82,False
10.31,-0.41,6.16,-2.47,False
11.0,-0.42,6.19,-2.38,False
0.09,-3.88,12.07,0.44,False
10.27,-0.44,3.01,-5.54,False
0.57,-3.86,5.17,1.14,False
2.93,0.86,1.73,0.94,False
6.86,-3.93,8.79,-5.04,False
9.98,-0.46,3.06,-5.52,False
2.7,-4.11,4.19,0.45,False
0.09,-3.81,5.36,1.39,False
3.06,-2.19,11.03,-1.6,False
5.78,-1.74,4.47,-1.29,False
0.1,12.92,-12.12,7.77,False
8.05,-2.79,7.05,-4.01,False
2.82,-3.1,7.49,-4.44,False
4.24,-2.91,10.03,0.39,False
3.84,-1.55,7.98,-4.47,False
4.11,-3.97,8.76,-5.84,False
1.33,-2.37,4.46,-4.38,False
6.59,-2.09,3.72,-2.16,False
4.24,-2.03,8.72,-2.29,False
4.24,-2.11,10.84,-1.64,False
5.8,-1.68,3.26,-2.92,False
4.24,-2.25,8.51,-2.49,False
4.24,-2.56,10.27,0.73,False
11.07,0.14,2.03,-0.09,False
4.24,-2.5,9.97,0.48,False
4.05,-2.24,10.0,0.7,False
4.05,-2.03,8.62,-2.32,False
16.92,-3.18,12.72,-9.5,False
2.89,-4.0,4.3,-0.37,False
3.64,-1.82,5.73,-6.43,False
2.7,-5.07,6.38,2.02,False
4.24,-2.24,9.82,0.63,False
0.09,-2.91,3.63,7.05,False
8.21,-2.78,11.28,-4.0,False
3.84,-1.55,7.98,-4.47,False
1.33,-2.77,8.87,-4.75,False
14.09,-3.02,8.9,-5.52,False
1.33,-2.39,4.37,-4.63,False
0.45,-2.77,12.01,3.89,False
3.69,0.22,1.73,1.07,False
11.37,-0.41,3.01,-5.5,False
3.93,-0.28,1.03,2.33,False
0.08,-4.99,6.22,4.8,False
3.61,0.89,1.77,0.95,False
0.1,-3.06,8.52,-4.44,False
3.84,-5.18,6.37,2.24,False
2.89,-4.0,4.3,-0.37,False
3.02,1.05,1.57,0.76,False
2.82,-2.53,8.21,-5.36,False
2.46,-1.52,7.93,-4.47,False
2.46,-2.07,6.09,-6.27,False
0.83,-5.04,6.22,2.39,False
0.1,-3.05,3.81,6.89,False
2.87,-2.04,8.89,-2.29,False
10.82,-0.43,6.19,-2.38,False
4.56,-1.95,4.44,-0.79,False
3.26,-2.92,10.33,0.43,False
0.09,-5.61,6.41,4.63,False
0.09,0.05,1.93,4.59,False
3.26,-2.92,10.42,0.45,False
3.26,-2.26,8.57,-2.5,False
0.1,-5.05,6.29,4.72,False
0.09,-3.2,11.68,3.48,False
0.1,10.35,1.39,13.5,False
3.26,-2.24,9.91,0.63,False
3.06,-2.57,10.5,0.76,False
10.42,-0.48,3.12,-5.47,False
0.1,0.07,1.92,4.59,False
2.87,-2.03,8.7,-2.34,False
2.82,-3.1,7.57,-4.43,False
2.95,-0.61,0.81,2.39,False
3.06,-2.03,8.74,-2.32,False
11.8,-0.5,6.4,6.64,False
9.03,-0.48,5.27,-3.3,False
0.47,-5.55,6.32,4.71,False
3.15,1.2,3.42,-0.74,False
0.09,-4.9,6.32,0.81,False
0.1,-0.03,0.96,4.95,False
0.01,-0.45,1.07,3.21,False
1.09,-2.14,10.95,-1.83,False
0.27,-1.49,7.87,-4.49,False
6.91,-1.99,6.85,-2.44,False
5.94,-1.81,4.3,-0.6,False
6.93,-3.93,9.15,-3.12,False
0.08,-1.81,4.11,-0.86,False
0.09,-2.11,10.43,-1.24,False
4.34,-0.02,5.72,3.98,False
0.1,-3.38,2.88,7.75,False
10.05,0.0,3.47,-1.03,False
3.71,-3.63,12.9,2.74,False
2.55,0.0,3.68,3.69,False
8.37,-0.15,3.93,-1.14,False
8.91,-2.47,8.02,-1.98,False
3.9,-2.39,-0.76,-3.51,False
4.34,-0.54,4.69,7.0,False
8.91,-2.48,8.07,-2.3,False
8.39,-0.6,1.62,1.78,False
2.36,0.0,3.68,5.38,False
0.07,-5.29,7.16,3.44,False
8.13,-0.1,3.85,-1.14,False
3.02,0.0,3.6,3.7,False
7.93,0.03,1.94,1.06,False
8.78,0.45,3.17,0.84,False
4.45,-1.39,9.57,-0.16,False
0.07,-2.52,4.93,1.02,False
0.1,-3.42,2.9,7.74,False
4.34,-0.18,4.56,7.22,False
4.34,-0.02,5.64,3.86,False
0.09,-1.51,12.89,1.24,False
2.92,-4.25,15.65,-1.69,False
0.48,-1.69,9.99,-0.02,False
7.11,-2.48,9.12,-1.53,False
8.8,0.0,0.88,1.93,False
0.1,0.0,5.75,3.62,False
0.09,-1.8,4.1,-0.88,False
6.88,-2.92,18.14,4.2,False
0.29,-0.08,5.15,3.73,False
4.95,-4.04,4.37,-1.37,False
2.4,-4.26,5.7,-3.24,False
0.29,-1.69,9.98,-0.16,False
3.85,-2.19,9.17,-1.98,False
0.1,-3.12,3.12,0.59,False
4.23,-2.09,6.25,-6.27,False
6.17,-1.68,8.24,-4.3,False
17.6,-3.17,8.93,-8.24,False
0.08,-4.99,6.22,4.8,False
2.46,-1.8,5.53,-6.52,False
2.81,-0.25,1.0,2.33,False
2.78,0.93,1.72,0.96,False
2.46,-2.07,6.14,-6.22,False
2.42,-5.26,7.06,4.69,False
