dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
0.09,-4.07,8.51,-4.43,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
